feature,ks_statistic,ks_pvalue,ks_drift,wasserstein_dist,wasserstein_drift,ref_mean,inc_mean,mean_shift
mfcc_0,0.043403,0.768393,False,6.583337,True,-724.9602,-725.1321,0.1719
mfcc_1,0.028646,0.990053,False,0.8129,True,47.027,46.9058,0.1212
mfcc_2,0.040799,0.82888,False,0.503127,True,-2.358,-2.4751,0.1172
mfcc_3,0.047743,0.659295,False,0.750225,True,11.8449,11.207,0.6378
mfcc_4,0.046007,0.703607,False,0.431376,True,-3.1811,-3.4086,0.2275
mfcc_5,0.076389,0.131766,False,0.757629,True,-2.8736,-3.5502,0.6765
mfcc_6,0.051215,0.570906,False,0.442214,True,-8.1485,-8.5141,0.3656
mfcc_7,0.092882,0.036092,True,0.812812,True,-6.31,-5.9716,0.3384
mfcc_8,0.048611,0.637059,False,0.301079,True,-3.0978,-3.2942,0.1965
mfcc_9,0.039931,0.847619,False,0.174641,True,-2.113,-2.2073,0.0943
mfcc_10,0.042535,0.789166,False,0.334244,True,-5.0411,-5.1189,0.0778
mfcc_11,0.056424,0.4461,False,0.235567,True,-0.7613,-0.8788,0.1175
mfcc_12,0.039062,0.865482,False,0.204279,True,-2.8081,-2.8395,0.0314
mfcc_13,0.067708,0.235121,False,0.469278,True,-0.7545,-0.3503,0.4042
mfcc_14,0.038194,0.882376,False,0.240217,True,-3.7985,-3.9429,0.1444
mfcc_15,0.063368,0.305572,False,0.35309,True,-1.7466,-1.4229,0.3237
mfcc_16,0.059028,0.389502,False,0.281329,True,-2.0797,-1.8888,0.1909
mfcc_17,0.049479,0.61487,False,0.240626,True,-0.4865,-0.2796,0.2069
mfcc_18,0.055556,0.46592,False,0.269151,True,-2.259,-2.0856,0.1734
mfcc_19,0.029514,0.986107,False,0.17359,True,-0.2913,-0.1835,0.1078
mfcc_20,0.032118,0.967897,False,0.127886,True,-2.0744,-2.0825,0.0081
mfcc_21,0.037326,0.898215,False,0.230982,True,0.241,0.0797,0.1613
mfcc_22,0.059028,0.389502,False,0.202744,True,-0.6429,-0.801,0.1581
mfcc_23,0.033854,0.949718,False,0.179769,True,1.1489,0.9887,0.1603
mfcc_24,0.065104,0.275783,False,0.220396,True,-0.6482,-0.7938,0.1457
mfcc_25,0.033854,0.949718,False,0.114882,True,1.6447,1.6554,0.0107
mfcc_26,0.046007,0.703607,False,0.195625,True,-0.1257,-0.2476,0.122
mfcc_27,0.044271,0.747144,False,0.144899,True,1.908,1.9128,0.0048
mfcc_28,0.040799,0.82888,False,0.15054,True,0.0675,0.0951,0.0276
