feature,ks_statistic,ks_pvalue,ks_drift,wasserstein_dist,wasserstein_drift,ref_mean,inc_mean,mean_shift
mfcc_0,0.045139,0.725517,False,6.650458,True,-724.9602,-725.1036,0.1434
mfcc_1,0.036458,0.912924,False,0.825423,True,47.027,46.9059,0.1211
mfcc_2,0.033854,0.949718,False,0.571052,True,-2.358,-2.5577,0.1998
mfcc_3,0.043403,0.768393,False,0.773023,True,11.8449,11.19,0.6548
mfcc_4,0.045139,0.725517,False,0.43406,True,-3.1811,-3.3804,0.1994
mfcc_5,0.072917,0.167547,False,0.88518,True,-2.8736,-3.6668,0.7931
mfcc_6,0.043403,0.768393,False,0.386842,True,-8.1485,-8.4739,0.3253
mfcc_7,0.09809,0.02275,True,0.818559,True,-6.31,-5.9854,0.3247
mfcc_8,0.061632,0.337532,False,0.421783,True,-3.0978,-3.2334,0.1356
mfcc_9,0.043403,0.768393,False,0.286366,True,-2.113,-2.2567,0.1437
mfcc_10,0.049479,0.61487,False,0.385878,True,-5.0411,-5.0917,0.0506
mfcc_11,0.061632,0.337532,False,0.294415,True,-0.7613,-0.9707,0.2094
mfcc_12,0.040799,0.82888,False,0.241916,True,-2.8081,-2.8783,0.0702
mfcc_13,0.067708,0.235121,False,0.488761,True,-0.7545,-0.3433,0.4112
mfcc_14,0.030382,0.981161,False,0.265886,True,-3.7985,-3.7663,0.0322
mfcc_15,0.050347,0.592799,False,0.270895,True,-1.7466,-1.5454,0.2012
mfcc_16,0.069444,0.21062,False,0.394889,True,-2.0797,-1.7838,0.2959
mfcc_17,0.046875,0.681504,False,0.26054,True,-0.4865,-0.2799,0.2066
mfcc_18,0.073785,0.157949,False,0.361186,True,-2.259,-2.0453,0.2137
mfcc_19,0.037326,0.898215,False,0.238372,True,-0.2913,-0.2186,0.0727
mfcc_20,0.054688,0.486178,False,0.164347,True,-2.0744,-2.0543,0.0201
mfcc_21,0.03125,0.975117,False,0.230391,True,0.241,0.0153,0.2257
mfcc_22,0.056424,0.4461,False,0.24285,True,-0.6429,-0.6979,0.055
mfcc_23,0.059896,0.371649,False,0.290701,True,1.1489,0.898,0.251
mfcc_24,0.082465,0.084218,False,0.372597,True,-0.6482,-0.7934,0.1452
mfcc_25,0.049479,0.61487,False,0.208237,True,1.6447,1.6865,0.0418
mfcc_26,0.055556,0.46592,False,0.201141,True,-0.1257,-0.2873,0.1617
mfcc_27,0.048611,0.637059,False,0.203281,True,1.908,1.8477,0.0603
mfcc_28,0.052951,0.52788,False,0.391909,True,0.0675,0.1695,0.102
mfcc_29,0.06684,0.248146,False,0.357252,True,1.6985,1.8136,0.1151
mfcc_30,0.046007,0.703607,False,0.218249,True,0.0153,0.0375,0.0222
mfcc_31,0.060764,0.354323,False,0.275081,True,1.6979,1.7718,0.0739
mfcc_32,0.071181,0.188124,False,0.276641,True,0.3019,0.408,0.1061
mfcc_33,0.052083,0.54925,False,0.251681,True,1.3326,1.3359,0.0032
mfcc_34,0.073785,0.157949,False,0.340104,True,-0.608,-0.6737,0.0657
mfcc_35,0.086806,0.059897,False,0.377147,True,0.9292,0.8846,0.0446
