feature,ks_statistic,ks_pvalue,ks_drift,wasserstein_dist,wasserstein_drift,ref_mean,inc_mean,mean_shift
mfcc_0,0.058333,0.172532,False,9.394286,True,-728.192,-721.7971,6.3948
mfcc_1,0.438889,0.0,True,16.029424,True,55.0175,38.988,16.0294
mfcc_2,0.376389,0.0,True,10.624984,True,2.9311,-7.6939,10.625
mfcc_3,0.556944,0.0,True,10.09251,True,16.7635,6.671,10.0925
mfcc_4,0.658333,0.0,True,12.128173,True,2.8375,-9.2907,12.1282
mfcc_5,0.3625,0.0,True,5.398877,True,-0.3095,-5.7084,5.3989
mfcc_6,0.623611,0.0,True,7.341816,True,-4.5516,-11.8917,7.3401
mfcc_7,0.336111,0.0,True,3.81343,True,-4.3356,-8.1491,3.8134
mfcc_8,0.155556,0.0,True,1.524779,True,-2.9699,-3.3042,0.3343
mfcc_9,0.725,0.0,True,7.1444,True,1.4401,-5.7038,7.1439
mfcc_10,0.265278,0.0,True,2.166922,True,-4.0691,-6.0442,1.9751
mfcc_11,0.497222,0.0,True,4.294185,True,1.2272,-2.7969,4.0241
mfcc_12,0.122222,4.2e-05,True,1.120368,True,-2.765,-2.8637,0.0987
mfcc_13,0.445833,0.0,True,3.649822,True,0.9376,-2.285,3.2227
mfcc_14,0.426389,0.0,True,3.285227,True,-2.3772,-5.2775,2.9003
mfcc_15,0.090278,0.005635,True,0.889318,True,-2.0307,-1.3331,0.6976
mfcc_16,0.426389,0.0,True,2.659984,True,-0.9957,-3.0874,2.0917
mfcc_17,0.272222,0.0,True,1.708868,True,0.1587,-1.0488,1.2075
mfcc_18,0.2375,0.0,True,1.658914,True,-3.0538,-1.3949,1.6589
mfcc_19,0.116667,0.000109,True,0.879479,True,-0.297,-0.2425,0.0545
mfcc_20,0.131944,7e-06,True,0.981861,True,-2.1218,-2.0304,0.0914
mfcc_21,0.247222,0.0,True,1.684615,True,-0.6336,1.051,1.6846
mfcc_22,0.151389,0.0,True,0.666855,True,-0.4595,-0.8896,0.4301
mfcc_23,0.154167,0.0,True,0.789585,True,0.8026,1.4312,0.6287
mfcc_24,0.245833,0.0,True,1.104067,True,-1.2076,-0.147,1.0606
mfcc_25,0.179167,0.0,True,0.782437,True,1.2942,1.9994,0.7052
mfcc_26,0.333333,0.0,True,1.697787,True,-0.999,0.6988,1.6978
mfcc_27,0.213889,0.0,True,1.010376,True,1.4092,2.4087,0.9995
mfcc_28,0.323611,0.0,True,1.559655,True,-0.7068,0.8528,1.5597
mfcc_29,0.280556,0.0,True,1.638834,True,0.8828,2.5215,1.6387
mfcc_30,0.351389,0.0,True,1.852777,True,-0.9174,0.9353,1.8528
mfcc_31,0.311111,0.0,True,1.65906,True,0.8932,2.5522,1.6591
mfcc_32,0.318056,0.0,True,1.191082,True,-0.2841,0.907,1.1911
mfcc_33,0.330556,0.0,True,1.236883,True,0.7128,1.9497,1.2369
mfcc_34,0.2875,0.0,True,1.032114,True,-1.132,-0.0998,1.0321
mfcc_35,0.275,0.0,True,0.834716,True,0.5182,1.3526,0.8344
mfcc_36,0.1625,0.0,True,0.367586,True,-0.4436,-0.1264,0.3172
mfcc_37,0.138889,2e-06,True,0.280319,True,1.1181,1.3017,0.1836
mfcc_38,0.091667,0.004696,True,0.241137,True,-0.368,-0.4168,0.0487
mfcc_39,0.097222,0.002202,True,0.339218,True,0.4714,0.4309,0.0405
mfcc_40,0.288889,0.0,True,10.882567,True,179.0836,168.201,10.8826
mfcc_41,0.379167,0.0,True,8.473659,True,59.5969,51.1232,8.4737
mfcc_42,0.323611,0.0,True,4.200383,True,26.9426,31.1405,4.1979
mfcc_43,0.122222,4.2e-05,True,0.660667,True,23.4183,22.8023,0.616
mfcc_44,0.222222,0.0,True,2.145856,True,20.6927,22.8375,2.1448
mfcc_45,0.051389,0.297879,False,0.315567,True,16.5058,16.2373,0.2686
mfcc_46,0.445833,0.0,True,2.696068,True,15.4605,18.1516,2.691
mfcc_47,0.033333,0.818989,False,0.152803,True,14.5256,14.5557,0.0301
mfcc_48,0.109722,0.00034,True,0.600563,True,13.3348,13.0206,0.3142
mfcc_49,0.233333,0.0,True,1.070132,True,11.2249,12.2887,1.0638
mfcc_50,0.079167,0.021907,True,0.406885,True,12.2973,12.3043,0.007
mfcc_51,0.459722,0.0,True,2.687965,True,9.4946,12.1826,2.688
mfcc_52,0.166667,0.0,True,1.24183,True,10.9659,11.292,0.3261
mfcc_53,0.323611,0.0,True,2.113574,True,8.6907,10.8043,2.1136
mfcc_54,0.4375,0.0,True,2.480634,True,9.7291,12.2097,2.4806
mfcc_55,0.194444,0.0,True,1.283815,True,9.3637,10.458,1.0943
mfcc_56,0.444444,0.0,True,2.588629,True,8.6204,11.209,2.5886
mfcc_57,0.458333,0.0,True,2.944026,True,7.8324,10.7764,2.944
mfcc_58,0.241667,0.0,True,1.60002,True,9.1291,10.7292,1.6
mfcc_59,0.444444,0.0,True,2.716895,True,7.8572,10.5737,2.7165
mfcc_60,0.440278,0.0,True,2.336897,True,8.6359,10.9728,2.3369
mfcc_61,0.397222,0.0,True,2.376142,True,8.0441,10.4188,2.3747
mfcc_62,0.531944,0.0,True,2.576609,True,7.7894,10.3414,2.552
mfcc_63,0.544444,0.0,True,2.989429,True,7.4001,10.3702,2.9701
mfcc_64,0.423611,0.0,True,2.253592,True,7.9564,10.1979,2.2416
mfcc_65,0.597222,0.0,True,3.444214,True,6.8958,10.3373,3.4415
mfcc_66,0.5625,0.0,True,2.928389,True,7.2536,10.182,2.9284
mfcc_67,0.5875,0.0,True,3.411208,True,6.6599,10.0711,3.4112
mfcc_68,0.543056,0.0,True,2.711731,True,6.9238,9.6355,2.7117
mfcc_69,0.55,0.0,True,2.936214,True,6.5075,9.4437,2.9362
mfcc_70,0.454167,0.0,True,2.083405,True,6.6975,8.7809,2.0834
mfcc_71,0.393056,0.0,True,1.939683,True,6.2345,8.1741,1.9397
mfcc_72,0.286111,0.0,True,1.217333,True,6.1278,7.3451,1.2173
mfcc_73,0.340278,0.0,True,1.339571,True,5.8468,7.1864,1.3396
mfcc_74,0.297222,0.0,True,0.965729,True,6.1725,7.1382,0.9657
mfcc_75,0.3125,0.0,True,0.960486,True,5.8684,6.8289,0.9605
mfcc_76,0.269444,0.0,True,0.750753,True,5.9235,6.6742,0.7508
mfcc_77,0.238889,0.0,True,0.527325,True,5.796,6.3109,0.5149
mfcc_78,0.181944,0.0,True,0.360928,True,5.7366,6.0002,0.2636
mfcc_79,0.108333,0.000423,True,0.366626,True,5.603,5.4361,0.1669
mfcc_80,0.181944,0.0,True,0.031367,False,0.013,0.0167,0.0037
mfcc_81,0.169444,0.0,True,0.022202,False,0.0189,0.0145,0.0044
mfcc_82,0.186111,0.0,True,0.014356,False,0.0118,0.0049,0.0068
mfcc_83,0.179167,0.0,True,0.011071,False,0.005,0.0027,0.0023
mfcc_84,0.179167,0.0,True,0.008937,False,0.0048,0.0035,0.0012
mfcc_85,0.209722,0.0,True,0.008132,False,0.0042,0.002,0.0022
mfcc_86,0.222222,0.0,True,0.008375,False,0.0047,-0.0,0.0047
mfcc_87,0.254167,0.0,True,0.007721,False,0.0034,-0.0011,0.0045
mfcc_88,0.240278,0.0,True,0.006317,False,0.0023,0.0002,0.0021
mfcc_89,0.218056,0.0,True,0.006056,False,0.0015,-0.0004,0.0019
mfcc_90,0.229167,0.0,True,0.005667,False,0.0022,-0.0003,0.0025
mfcc_91,0.223611,0.0,True,0.005635,False,0.0011,-0.0004,0.0015
mfcc_92,0.2125,0.0,True,0.005493,False,0.0014,-1e-04,0.0015
mfcc_93,0.225,0.0,True,0.00462,False,0.0017,0.0005,0.0012
mfcc_94,0.222222,0.0,True,0.005101,False,0.0007,-0.0002,0.0009
mfcc_95,0.240278,0.0,True,0.005008,False,0.0014,-0.0003,0.0017
mfcc_96,0.244444,0.0,True,0.004103,False,0.001,-0.0006,0.0016
mfcc_97,0.198611,0.0,True,0.004097,False,0.0012,0.0003,0.001
mfcc_98,0.184722,0.0,True,0.003752,False,0.0015,0.0006,0.0009
mfcc_99,0.209722,0.0,True,0.003704,False,0.001,0.0002,0.0008
mfcc_100,0.208333,0.0,True,0.00405,False,0.0008,-0.0009,0.0016
mfcc_101,0.209722,0.0,True,0.003742,False,0.0003,-0.0005,0.0009
mfcc_102,0.181944,0.0,True,0.003132,False,0.0009,-1e-04,0.001
mfcc_103,0.177778,0.0,True,0.003536,False,0.0014,0.0003,0.0011
mfcc_104,0.156944,0.0,True,0.003555,False,0.0008,0.0003,0.0006
mfcc_105,0.154167,0.0,True,0.003469,False,0.0,0.0002,1e-04
mfcc_106,0.148611,0.0,True,0.00287,False,0.0004,0.0007,0.0004
mfcc_107,0.15,0.0,True,0.002745,False,0.0003,0.0007,0.0004
mfcc_108,0.155556,0.0,True,0.002869,False,-1e-04,0.0006,0.0008
mfcc_109,0.156944,0.0,True,0.002778,False,0.0002,0.0008,0.0006
mfcc_110,0.186111,0.0,True,0.002258,False,0.0002,0.0013,0.001
mfcc_111,0.2,0.0,True,0.002352,False,1e-04,0.0012,0.0011
mfcc_112,0.176389,0.0,True,0.002239,False,0.0003,0.001,0.0007
mfcc_113,0.165278,0.0,True,0.002112,False,0.0003,0.001,0.0007
mfcc_114,0.175,0.0,True,0.00191,False,1e-04,0.0009,0.0008
mfcc_115,0.190278,0.0,True,0.001992,False,0.0002,0.0012,0.0009
mfcc_116,0.169444,0.0,True,0.002005,False,0.0003,0.0008,0.0005
mfcc_117,0.15,0.0,True,0.002099,False,-1e-04,0.0006,0.0006
mfcc_118,0.151389,0.0,True,0.001937,False,-0.0,-0.0,0.0
mfcc_119,0.143056,1e-06,True,0.002163,False,1e-04,1e-04,1e-04
mfcc_120,0.159722,0.0,True,0.591421,True,12.8475,12.2589,0.5886
mfcc_121,0.326389,0.0,True,0.631341,True,6.3979,5.7666,0.6313
mfcc_122,0.245833,0.0,True,0.363761,True,4.2672,4.6309,0.3637
mfcc_123,0.056944,0.193571,False,0.046218,False,2.9731,3.0174,0.0444
