timestamp,scenario,ks_drift_ratio,f1_score,baseline_f1,f1_drop,drift_alert,perf_alert,any_alert,status
2026-06-06 20:20:41,baseline,0.0292,0.5904,0.5986,0.0082,False,False,False,✅ OK
2026-06-06 20:22:58,baseline,0.05,0.5213,0.5986,0.0773,False,True,True,🚨 ALERT
2026-06-06 20:22:58,noise,0.6792,0.0826,0.5986,0.516,True,True,True,🚨 ALERT
2026-06-06 20:22:58,speaker_split,0.475,0.8796,0.5986,-0.281,True,False,True,🚨 ALERT
2026-06-06 20:22:58,gradual,0.6667,0.0826,0.5986,0.516,True,True,True,🚨 ALERT
2026-06-06 20:22:58,noise,0.3292,0.3874,0.5986,0.2112,True,True,True,🚨 ALERT
2026-06-06 20:22:59,noise,0.525,0.1019,0.5986,0.4967,True,True,True,🚨 ALERT
2026-06-06 20:23:00,noise,0.6292,0.0824,0.5986,0.5162,True,True,True,🚨 ALERT
2026-06-06 20:23:01,noise,0.6625,0.0824,0.5986,0.5162,True,True,True,🚨 ALERT
2026-06-06 20:23:01,noise,0.6792,0.1128,0.5986,0.4858,True,True,True,🚨 ALERT
2026-06-06 20:23:02,noise,0.6875,0.0946,0.5986,0.504,True,True,True,🚨 ALERT
2026-06-06 20:23:03,noise,0.7042,0.0946,0.5986,0.504,True,True,True,🚨 ALERT
2026-06-06 20:23:03,noise,0.7292,0.093,0.5986,0.5056,True,True,True,🚨 ALERT
2026-06-06 20:23:04,noise,0.7583,0.1,0.5986,0.4986,True,True,True,🚨 ALERT
2026-06-06 20:23:05,noise,0.775,0.0911,0.5986,0.5075,True,True,True,🚨 ALERT
2026-06-06 20:46:57,baseline,0.0667,0.5481,0.5986,0.0505,False,True,True,🚨 ALERT
2026-06-06 20:57:27,noise,0.6708,0.086,0.5986,0.5126,True,True,True,🚨 ALERT
2026-06-06 21:01:34,gradual,0.6708,0.041,0.5986,0.5576,True,True,True,🚨 ALERT
2026-06-06 21:01:51,noise,0.6833,0.0644,0.5986,0.5342,True,True,True,🚨 ALERT
2026-06-06 21:01:54,gradual,0.6583,0.0777,0.5986,0.5209,True,True,True,🚨 ALERT
2026-06-06 21:02:14,gradual,0.6833,0.0914,0.5986,0.5072,True,True,True,🚨 ALERT
2026-06-06 21:02:35,gradual,0.6625,0.1576,0.5986,0.441,True,True,True,🚨 ALERT
2026-06-06 21:02:55,gradual,0.6708,0.1134,0.5986,0.4852,True,True,True,🚨 ALERT
2026-06-06 21:03:15,gradual,0.6667,0.0833,0.5986,0.5153,True,True,True,🚨 ALERT
2026-06-06 21:03:36,gradual,0.6708,0.1055,0.5986,0.4931,True,True,True,🚨 ALERT
