path,emotion,intensity,actor,gender,statement,repetition,duration_s
..\data\raw\angry\03-01-05-01-01-01-01.wav,angry,normal,1,male,01,01,3.8705416666666665
..\data\raw\angry\03-01-05-01-01-01-02.wav,angry,normal,2,female,01,01,3.6703333333333332
..\data\raw\angry\03-01-05-01-01-01-03.wav,angry,normal,3,male,01,01,4.004
..\data\raw\angry\03-01-05-01-01-01-04.wav,angry,normal,4,female,01,01,3.703708333333333
..\data\raw\angry\03-01-05-01-01-01-05.wav,angry,normal,5,male,01,01,3.8705416666666665
..\data\raw\angry\03-01-05-01-01-01-06.wav,angry,normal,6,female,01,01,3.7704375
..\data\raw\angry\03-01-05-01-01-01-07.wav,angry,normal,7,male,01,01,4.004
..\data\raw\angry\03-01-05-01-01-01-08.wav,angry,normal,8,female,01,01,3.703708333333333
..\data\raw\angry\03-01-05-01-01-01-09.wav,angry,normal,9,male,01,01,3.5702291666666666
..\data\raw\angry\03-01-05-01-01-01-10.wav,angry,normal,10,female,01,01,3.9038958333333333
..\data\raw\angry\03-01-05-01-01-01-11.wav,angry,normal,11,male,01,01,3.6036041666666665
..\data\raw\angry\03-01-05-01-01-01-12.wav,angry,normal,12,female,01,01,4.2709375
..\data\raw\angry\03-01-05-01-01-01-13.wav,angry,normal,13,male,01,01,3.4367708333333336
..\data\raw\angry\03-01-05-01-01-01-14.wav,angry,normal,14,female,01,01,3.6035833333333334
..\data\raw\angry\03-01-05-01-01-01-15.wav,angry,normal,15,male,01,01,3.636979166666667
..\data\raw\angry\03-01-05-01-01-01-16.wav,angry,normal,16,female,01,01,3.970645833333333
..\data\raw\angry\03-01-05-01-01-01-17.wav,angry,normal,17,male,01,01,3.4701458333333335
..\data\raw\angry\03-01-05-01-01-01-18.wav,angry,normal,18,female,01,01,3.9038958333333333
..\data\raw\angry\03-01-05-01-01-01-19.wav,angry,normal,19,male,01,01,3.7704375
..\data\raw\angry\03-01-05-01-01-01-20.wav,angry,normal,20,female,01,01,3.2365833333333334
..\data\raw\angry\03-01-05-01-01-01-21.wav,angry,normal,21,male,01,01,4.137479166666667
..\data\raw\angry\03-01-05-01-01-01-22.wav,angry,normal,22,female,01,01,3.703708333333333
..\data\raw\angry\03-01-05-01-01-01-23.wav,angry,normal,23,male,01,01,3.3033125
..\data\raw\angry\03-01-05-01-01-01-24.wav,angry,normal,24,female,01,01,4.104104166666667
..\data\raw\angry\03-01-05-01-01-02-01.wav,angry,normal,1,male,01,02,3.9372708333333333
..\data\raw\angry\03-01-05-01-01-02-02.wav,angry,normal,2,female,01,02,3.6703333333333332
..\data\raw\angry\03-01-05-01-01-02-03.wav,angry,normal,3,male,01,02,4.070729166666666
..\data\raw\angry\03-01-05-01-01-02-04.wav,angry,normal,4,female,01,02,3.6036041666666665
..\data\raw\angry\03-01-05-01-01-02-05.wav,angry,normal,5,male,01,02,3.8037916666666667
..\data\raw\angry\03-01-05-01-01-02-06.wav,angry,normal,6,female,01,02,3.970625
..\data\raw\angry\03-01-05-01-01-02-07.wav,angry,normal,7,male,01,02,3.970645833333333
..\data\raw\angry\03-01-05-01-01-02-08.wav,angry,normal,8,female,01,02,3.6036041666666665
..\data\raw\angry\03-01-05-01-01-02-09.wav,angry,normal,9,male,01,02,3.57025
..\data\raw\angry\03-01-05-01-01-02-10.wav,angry,normal,10,female,01,02,4.004
..\data\raw\angry\03-01-05-01-01-02-11.wav,angry,normal,11,male,01,02,3.4701458333333335
..\data\raw\angry\03-01-05-01-01-02-12.wav,angry,normal,12,female,01,02,3.970625
..\data\raw\angry\03-01-05-01-01-02-13.wav,angry,normal,13,male,01,02,3.5368541666666666
..\data\raw\angry\03-01-05-01-01-02-14.wav,angry,normal,14,female,01,02,3.703708333333333
..\data\raw\angry\03-01-05-01-01-02-15.wav,angry,normal,15,male,01,02,3.6036041666666665
..\data\raw\angry\03-01-05-01-01-02-16.wav,angry,normal,16,female,01,02,4.004
..\data\raw\angry\03-01-05-01-01-02-17.wav,angry,normal,17,male,01,02,3.703708333333333
..\data\raw\angry\03-01-05-01-01-02-18.wav,angry,normal,18,female,01,02,4.170833333333333
..\data\raw\angry\03-01-05-01-01-02-19.wav,angry,normal,19,male,01,02,3.703708333333333
..\data\raw\angry\03-01-05-01-01-02-20.wav,angry,normal,20,female,01,02,3.7370625
..\data\raw\angry\03-01-05-01-01-02-21.wav,angry,normal,21,male,01,02,4.004
..\data\raw\angry\03-01-05-01-01-02-22.wav,angry,normal,22,female,01,02,3.7370625
..\data\raw\angry\03-01-05-01-01-02-23.wav,angry,normal,23,male,01,02,3.3033125
..\data\raw\angry\03-01-05-01-01-02-24.wav,angry,normal,24,female,01,02,3.7370625
..\data\raw\angry\03-01-05-01-02-01-01.wav,angry,normal,1,male,02,01,3.5035
..\data\raw\angry\03-01-05-01-02-01-02.wav,angry,normal,2,female,02,01,3.7704166666666667
..\data\raw\angry\03-01-05-01-02-01-03.wav,angry,normal,3,male,02,01,3.8038125
..\data\raw\angry\03-01-05-01-02-01-04.wav,angry,normal,4,female,02,01,3.470125
..\data\raw\angry\03-01-05-01-02-01-05.wav,angry,normal,5,male,02,01,4.070729166666666
..\data\raw\angry\03-01-05-01-02-01-06.wav,angry,normal,6,female,02,01,4.2041875
..\data\raw\angry\03-01-05-01-02-01-07.wav,angry,normal,7,male,02,01,4.004
..\data\raw\angry\03-01-05-01-02-01-08.wav,angry,normal,8,female,02,01,3.536875
..\data\raw\angry\03-01-05-01-02-01-09.wav,angry,normal,9,male,02,01,3.7370625
..\data\raw\angry\03-01-05-01-02-01-10.wav,angry,normal,10,female,02,01,4.104104166666667
..\data\raw\angry\03-01-05-01-02-01-11.wav,angry,normal,11,male,02,01,3.470125
..\data\raw\angry\03-01-05-01-02-01-12.wav,angry,normal,12,female,02,01,3.7370833333333335
..\data\raw\angry\03-01-05-01-02-01-13.wav,angry,normal,13,male,02,01,3.6036041666666665
..\data\raw\angry\03-01-05-01-02-01-14.wav,angry,normal,14,female,02,01,3.7370625
..\data\raw\angry\03-01-05-01-02-01-15.wav,angry,normal,15,male,02,01,3.703708333333333
..\data\raw\angry\03-01-05-01-02-01-16.wav,angry,normal,16,female,02,01,3.9038958333333333
..\data\raw\angry\03-01-05-01-02-01-17.wav,angry,normal,17,male,02,01,3.6036041666666665
..\data\raw\angry\03-01-05-01-02-01-18.wav,angry,normal,18,female,02,01,3.5702291666666666
..\data\raw\angry\03-01-05-01-02-01-19.wav,angry,normal,19,male,02,01,3.3033125
..\data\raw\angry\03-01-05-01-02-01-20.wav,angry,normal,20,female,02,01,3.6703333333333332
..\data\raw\angry\03-01-05-01-02-01-21.wav,angry,normal,21,male,02,01,4.070729166666666
..\data\raw\angry\03-01-05-01-02-01-22.wav,angry,normal,22,female,02,01,3.8705208333333334
..\data\raw\angry\03-01-05-01-02-01-23.wav,angry,normal,23,male,02,01,3.2699375
..\data\raw\angry\03-01-05-01-02-01-24.wav,angry,normal,24,female,02,01,3.6703333333333332
..\data\raw\angry\03-01-05-01-02-02-01.wav,angry,normal,1,male,02,02,3.7370625
..\data\raw\angry\03-01-05-01-02-02-02.wav,angry,normal,2,female,02,02,3.8037916666666667
..\data\raw\angry\03-01-05-01-02-02-03.wav,angry,normal,3,male,02,02,3.8371666666666666
..\data\raw\angry\03-01-05-01-02-02-04.wav,angry,normal,4,female,02,02,3.7370625
..\data\raw\angry\03-01-05-01-02-02-05.wav,angry,normal,5,male,02,02,4.404395833333333
..\data\raw\angry\03-01-05-01-02-02-06.wav,angry,normal,6,female,02,02,3.9038958333333333
..\data\raw\angry\03-01-05-01-02-02-07.wav,angry,normal,7,male,02,02,4.004
..\data\raw\angry\03-01-05-01-02-02-08.wav,angry,normal,8,female,02,02,3.5702291666666666
..\data\raw\angry\03-01-05-01-02-02-09.wav,angry,normal,9,male,02,02,3.536875
..\data\raw\angry\03-01-05-01-02-02-10.wav,angry,normal,10,female,02,02,4.137479166666667
..\data\raw\angry\03-01-05-01-02-02-11.wav,angry,normal,11,male,02,02,3.7370833333333335
..\data\raw\angry\03-01-05-01-02-02-12.wav,angry,normal,12,female,02,02,4.137458333333333
..\data\raw\angry\03-01-05-01-02-02-13.wav,angry,normal,13,male,02,02,3.3700208333333332
