timestamp,scenario,batch_size,batch_acc,batch_f1,baseline_f1,f1_drop,ks_drift_ratio,mean_ks_stat,mean_wasserstein,drift_alert,perf_alert,status
2026-06-06 20:22:58,baseline,100,0.56,0.5213,0.5986,0.0773,0.05,0.093,0.1976,False,True,🚨 ALERT
2026-06-06 20:22:58,noise,100,0.1,0.0826,0.5986,0.516,0.6792,0.3262,0.669,True,True,🚨 ALERT
2026-06-06 20:22:58,speaker_split,100,0.88,0.8796,0.5986,-0.281,0.475,0.1612,0.5874,True,False,🚨 ALERT
2026-06-06 20:22:58,gradual,100,0.1,0.0826,0.5986,0.516,0.6667,0.3166,0.5754,True,True,🚨 ALERT
2026-06-06 20:22:58,noise,80,0.4375,0.3874,0.5986,0.2112,0.3292,0.1445,0.2482,True,True,🚨 ALERT
2026-06-06 20:22:59,noise,80,0.1,0.1019,0.5986,0.4967,0.525,0.2506,0.2812,True,True,🚨 ALERT
2026-06-06 20:23:00,noise,80,0.1,0.0824,0.5986,0.5162,0.6292,0.2856,0.4265,True,True,🚨 ALERT
2026-06-06 20:23:01,noise,80,0.1,0.0824,0.5986,0.5162,0.6625,0.3082,0.5407,True,True,🚨 ALERT
2026-06-06 20:23:01,noise,80,0.1375,0.1128,0.5986,0.4858,0.6792,0.3248,0.6509,True,True,🚨 ALERT
2026-06-06 20:23:02,noise,80,0.1,0.0946,0.5986,0.504,0.6875,0.3371,0.775,True,True,🚨 ALERT
2026-06-06 20:23:03,noise,80,0.1,0.0946,0.5986,0.504,0.7042,0.3465,0.909,True,True,🚨 ALERT
2026-06-06 20:23:03,noise,80,0.1125,0.093,0.5986,0.5056,0.7292,0.3545,1.0427,True,True,🚨 ALERT
2026-06-06 20:23:04,noise,80,0.125,0.1,0.5986,0.4986,0.7583,0.3634,1.1926,True,True,🚨 ALERT
2026-06-06 20:23:05,noise,80,0.0875,0.0911,0.5986,0.5075,0.775,0.3684,1.3843,True,True,🚨 ALERT
2026-06-06 20:46:57,baseline,50,0.64,0.5481,0.5986,0.0505,0.0667,0.1214,0.2826,False,True,🚨 ALERT
2026-06-06 20:57:27,noise,50,0.14,0.086,0.5986,0.5126,0.6708,0.3435,0.7951,True,True,🚨 ALERT
2026-06-06 21:01:34,gradual,50,0.06,0.041,0.5986,0.5576,0.6708,0.3372,0.7001,True,True,🚨 ALERT
2026-06-06 21:01:51,noise,50,0.08,0.0644,0.5986,0.5342,0.6833,0.3467,0.7968,True,True,🚨 ALERT
2026-06-06 21:01:54,gradual,50,0.12,0.0777,0.5986,0.5209,0.6583,0.3471,0.7472,True,True,🚨 ALERT
2026-06-06 21:02:14,gradual,50,0.16,0.0914,0.5986,0.5072,0.6833,0.3394,0.7128,True,True,🚨 ALERT
2026-06-06 21:02:35,gradual,50,0.22,0.1576,0.5986,0.441,0.6625,0.3384,0.71,True,True,🚨 ALERT
2026-06-06 21:02:55,gradual,50,0.14,0.1134,0.5986,0.4852,0.6708,0.3382,0.6814,True,True,🚨 ALERT
2026-06-06 21:03:15,gradual,50,0.12,0.0833,0.5986,0.5153,0.6667,0.3374,0.6976,True,True,🚨 ALERT
2026-06-06 21:03:36,gradual,50,0.14,0.1055,0.5986,0.4931,0.6708,0.3393,0.7027,True,True,🚨 ALERT
