feature,mean,std,min,max
mfcc_0,-724.9605,100.89694,-958.7217,-434.9869
mfcc_1,47.027004,17.015022,-10.853686,92.71102
mfcc_2,-2.3579514,12.204227,-48.159744,33.660015
mfcc_3,11.844856,9.16471,-15.753612,38.40631
mfcc_4,-3.1810596,9.043644,-30.37988,18.218904
mfcc_5,-2.8736472,6.7433496,-26.872995,17.978651
mfcc_6,-8.148539,6.260528,-23.17229,7.7150903
mfcc_7,-6.3100414,4.913177,-26.741037,9.115855
mfcc_8,-3.0977583,4.5493574,-20.923561,22.31022
mfcc_9,-2.1129968,5.0572224,-15.701341,17.52396
mfcc_10,-5.0410914,4.2757053,-17.905336,18.3841
mfcc_11,-0.76133007,4.535321,-12.920601,20.569937
mfcc_12,-2.8080916,3.9425278,-11.950217,17.879267
mfcc_13,-0.754514,4.029157,-12.800579,18.2469
mfcc_14,-3.7984915,4.025632,-15.666002,12.504649
mfcc_15,-1.7466496,3.5963445,-10.511083,19.388918
mfcc_16,-2.079714,3.7052379,-9.968356,19.018
mfcc_17,-0.48646805,3.848111,-9.511973,23.567324
mfcc_18,-2.2589955,3.6878428,-10.685037,18.28255
mfcc_19,-0.29130998,3.2444503,-8.753039,12.763288
mfcc_20,-2.07444,3.2195995,-9.55276,11.898502
mfcc_21,0.24099377,3.3939855,-6.701476,13.751924
mfcc_22,-0.64294225,3.0597072,-9.655756,17.590433
mfcc_23,1.1489472,3.05903,-5.285509,18.76252
mfcc_24,-0.6481762,2.701038,-6.426973,12.549123
mfcc_25,1.6446564,2.5959413,-4.3539586,13.613209
mfcc_26,-0.12567303,2.5065866,-8.0779295,10.684853
mfcc_27,1.9079604,2.4889276,-4.9263263,12.03459
mfcc_28,0.06746702,2.4378617,-6.032989,12.385762
mfcc_29,1.6984701,2.5214484,-4.343355,13.480995
mfcc_30,0.015292499,2.476723,-5.64534,9.718474
mfcc_31,1.697921,2.348618,-3.429377,11.705921
mfcc_32,0.30187598,1.9201715,-7.66929,7.6944103
mfcc_33,1.332644,1.8986232,-3.8954318,9.9329195
mfcc_34,-0.60795534,1.8243665,-5.5609293,7.821425
mfcc_35,0.9292432,1.7582042,-3.0002813,10.763345
mfcc_36,-0.29825428,1.5873712,-4.820549,7.0561914
mfcc_37,1.192379,1.5210763,-3.369703,6.5484605
mfcc_38,-0.3954364,1.4168004,-4.2449055,4.8812537
mfcc_39,0.4638734,1.3095272,-3.2087376,5.0853877
mfcc_40,173.50801,16.336384,114.95291,218.12277
mfcc_41,55.391754,10.60826,21.439098,83.0987
mfcc_42,29.07884,5.9490957,13.627098,52.30191
mfcc_43,23.023724,3.3922222,12.662378,33.946613
mfcc_44,21.785744,4.5092077,11.895396,38.54914
mfcc_45,16.31028,2.9557986,8.315605,28.330614
mfcc_46,16.746597,2.974545,9.295756,29.093672
mfcc_47,14.531845,2.7929072,8.398057,26.528402
mfcc_48,13.118603,2.2127256,8.063393,26.86838
mfcc_49,11.760158,2.2860389,6.760237,28.26679
mfcc_50,12.291958,2.4450846,7.293687,28.061432
mfcc_51,10.825649,2.7532985,6.00186,23.9494
mfcc_52,11.092951,3.0014064,5.581728,27.220966
mfcc_53,9.730766,2.9280646,5.639258,27.124252
mfcc_54,10.937601,2.5684967,5.3397365,26.580877
mfcc_55,9.89248,3.0432634,5.4501615,26.811367
mfcc_56,9.889554,2.8426929,5.0271025,23.848778
mfcc_57,9.254218,3.158565,4.238196,23.390203
mfcc_58,9.893104,2.7106326,5.234297,22.719965
mfcc_59,9.163335,3.1742508,4.7960215,24.591713
mfcc_60,9.779229,2.6931689,5.1540427,19.113096
mfcc_61,9.21319,3.1706789,4.4459224,21.068502
mfcc_62,9.105705,3.0784154,3.7370698,25.714336
mfcc_63,8.926609,3.2800715,3.7760952,23.010216
mfcc_64,9.102317,2.5929914,4.4939685,21.053698
mfcc_65,8.630211,3.1341052,4.045077,20.742336
mfcc_66,8.707373,2.6325777,4.0580716,18.424168
mfcc_67,8.351986,2.9217386,3.5091066,17.574043
mfcc_68,8.278433,2.4272516,3.982817,16.315
mfcc_69,7.955818,2.703438,3.5943294,17.056107
mfcc_70,7.706409,2.2132356,3.816357,16.184912
mfcc_71,7.179997,2.3020551,3.3641284,17.03041
mfcc_72,6.724704,1.8281744,3.5835352,13.51713
mfcc_73,6.500804,1.8680116,3.1212127,15.570866
mfcc_74,6.6454654,1.5052963,3.7181265,13.078964
mfcc_75,6.335738,1.6226387,3.2481215,14.396721
mfcc_76,6.280686,1.4226828,3.5573664,13.81575
mfcc_77,6.0320663,1.422895,3.139242,11.942742
mfcc_78,5.864567,1.2033601,3.3935623,11.354326
mfcc_79,5.525406,1.1836009,3.2309995,11.425809
mfcc_80,0.014623574,0.10550341,-0.6744704,1.0296719
mfcc_81,0.016631164,0.055664986,-0.26549166,0.31206962
mfcc_82,0.007903934,0.031906556,-0.15044065,0.17879376
mfcc_83,0.00392696,0.023955112,-0.13717121,0.22605388
mfcc_84,0.004322596,0.02216423,-0.19459593,0.18049502
mfcc_85,0.0030261134,0.01890597,-0.07426106,0.122825496
mfcc_86,0.0019654348,0.02194072,-0.10819306,0.12871796
mfcc_87,0.0007992775,0.017843205,-0.083100356,0.074229635
mfcc_88,0.0009521849,0.016437382,-0.08541754,0.1396641
mfcc_89,7.785214e-05,0.0140021965,-0.06589687,0.060631387
mfcc_90,0.0007211261,0.014168668,-0.06714262,0.11942201
mfcc_91,0.000101274425,0.013257709,-0.08542327,0.095866494
mfcc_92,0.00038928105,0.013044313,-0.08915246,0.08288486
mfcc_93,0.00091603614,0.012389369,-0.07014895,0.105232336
mfcc_94,0.00016793347,0.012594738,-0.0594351,0.13464178
mfcc_95,0.0005005372,0.01196917,-0.061787706,0.084859096
mfcc_96,0.00031912237,0.010540367,-0.05552354,0.056397963
mfcc_97,0.00071314105,0.010978756,-0.05088809,0.089690104
mfcc_98,0.00093759905,0.0110684,-0.068623796,0.06815907
mfcc_99,0.0005506886,0.009914785,-0.061151937,0.11124969
mfcc_100,-0.00011781507,0.009986075,-0.08340693,0.07472098
mfcc_101,-0.00022427335,0.009629133,-0.05108924,0.0629567
mfcc_102,0.00027501676,0.009129587,-0.04577897,0.05199902
mfcc_103,0.000700949,0.009056964,-0.046892513,0.05502301
mfcc_104,0.00066554337,0.00959945,-0.050977636,0.09231565
mfcc_105,0.0004126887,0.008704466,-0.050940268,0.04947404
mfcc_106,0.00063336553,0.0077681723,-0.047125563,0.03770946
mfcc_107,0.00029621134,0.007530703,-0.052454274,0.035651192
mfcc_108,0.0002343363,0.0074946308,-0.03597515,0.049303547
mfcc_109,0.00057827216,0.007903359,-0.047044896,0.06444559
mfcc_110,0.00087494706,0.0072603766,-0.027878925,0.04953712
mfcc_111,0.000675358,0.007220589,-0.03724214,0.0480857
mfcc_112,0.0006117828,0.0066070645,-0.039573394,0.033886604
mfcc_113,0.000697202,0.006960948,-0.03809196,0.041748744
mfcc_114,0.00043414818,0.0066521144,-0.028930316,0.049271777
mfcc_115,0.0006150998,0.0064545665,-0.04248193,0.03713063
mfcc_116,0.00051040255,0.006423179,-0.036719494,0.03491512
mfcc_117,0.00014538888,0.006279002,-0.04963665,0.034763698
mfcc_118,-0.00015265356,0.0059858304,-0.048058845,0.03156671
mfcc_119,4.5263223e-05,0.0061255996,-0.03756437,0.03560474
mfcc_120,12.555198,1.5408973,7.968756,18.665058
mfcc_121,6.0781035,0.907127,3.5261705,8.791934
mfcc_122,4.458208,0.7395989,2.3896973,6.4362373
mfcc_123,2.9858084,0.378869,1.6618028,4.5484076
mfcc_124,2.9033806,0.4469527,1.7164104,4.601337
mfcc_125,2.2114978,0.34400162,1.2764542,3.5728512
mfcc_126,2.226912,0.3417228,1.4066259,3.3066962
mfcc_127,1.9578805,0.32575837,1.1061982,3.0339715
mfcc_128,1.6532551,0.22580163,1.0261571,2.928789
mfcc_129,1.5937839,0.23971678,1.0161256,2.9658546
mfcc_130,1.5298878,0.3045538,0.9572933,3.4502506
mfcc_131,1.5009722,0.33404174,0.92250013,3.3377857
mfcc_132,1.433641,0.39126587,0.7641729,3.2958224
mfcc_133,1.3942205,0.40361673,0.81735367,3.739072
mfcc_134,1.366392,0.41227725,0.789581,3.3000047
mfcc_135,1.3478299,0.44080988,0.7780801,3.2604437
mfcc_136,1.346259,0.44100773,0.76252663,3.09269
mfcc_137,1.3290883,0.45751792,0.6721761,3.0364583
mfcc_138,1.3408159,0.46965942,0.7150913,3.195743
mfcc_139,1.3408045,0.50014377,0.64741766,3.262274
mfcc_140,1.3725653,0.48239166,0.56616604,2.914875
mfcc_141,1.3565202,0.49310732,0.63767344,2.8326538
mfcc_142,1.3516709,0.48662975,0.57834077,2.8132594
mfcc_143,1.3249997,0.4641659,0.5592274,2.8457127
mfcc_144,1.331058,0.4267643,0.59395105,2.8938725
mfcc_145,1.3042431,0.43686366,0.5311515,2.804473
mfcc_146,1.3012624,0.42151505,0.5738092,2.9911456
mfcc_147,1.2806506,0.41581818,0.5074445,2.3934667
mfcc_148,1.2718681,0.3960899,0.51134795,2.6235235
mfcc_149,1.236797,0.37700692,0.5459278,2.3877068
mfcc_150,1.1839786,0.3434072,0.4912672,2.0689468
mfcc_151,1.1277206,0.31717408,0.53137547,2.1837084
mfcc_152,1.0643842,0.28935933,0.4755244,1.9784383
mfcc_153,1.0347052,0.27778134,0.42816547,1.964604
mfcc_154,1.0410031,0.2669274,0.46447265,1.9305218
mfcc_155,1.0184623,0.26836,0.49174944,1.9901651
mfcc_156,0.9950608,0.2552124,0.44182608,1.9284775
