,mfcc_1,mfcc_1,mfcc_1,mfcc_1,mfcc_1,mfcc_1,mfcc_1,mfcc_1,mfcc_2,mfcc_2,mfcc_2,mfcc_2,mfcc_2,mfcc_2,mfcc_2,mfcc_2,mfcc_3,mfcc_3,mfcc_3,mfcc_3,mfcc_3,mfcc_3,mfcc_3,mfcc_3,mfcc_4,mfcc_4,mfcc_4,mfcc_4,mfcc_4,mfcc_4,mfcc_4,mfcc_4,mfcc_5,mfcc_5,mfcc_5,mfcc_5,mfcc_5,mfcc_5,mfcc_5,mfcc_5,mfcc_6,mfcc_6,mfcc_6,mfcc_6,mfcc_6,mfcc_6,mfcc_6,mfcc_6,mfcc_7,mfcc_7,mfcc_7,mfcc_7,mfcc_7,mfcc_7,mfcc_7,mfcc_7,mfcc_8,mfcc_8,mfcc_8,mfcc_8,mfcc_8,mfcc_8,mfcc_8,mfcc_8,mfcc_9,mfcc_9,mfcc_9,mfcc_9,mfcc_9,mfcc_9,mfcc_9,mfcc_9,mfcc_10,mfcc_10,mfcc_10,mfcc_10,mfcc_10,mfcc_10,mfcc_10,mfcc_10,mfcc_11,mfcc_11,mfcc_11,mfcc_11,mfcc_11,mfcc_11,mfcc_11,mfcc_11,mfcc_12,mfcc_12,mfcc_12,mfcc_12,mfcc_12,mfcc_12,mfcc_12,mfcc_12,mfcc_13,mfcc_13,mfcc_13,mfcc_13,mfcc_13,mfcc_13,mfcc_13,mfcc_13
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
emotion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
angry,192.0,-466.828369140625,91.95775604248047,-714.3878784179688,-540.8295135498047,-468.12876892089844,-389.2293014526367,-288.95599365234375,192.0,32.46711349487305,14.651009559631348,-15.84805679321289,22.6666841506958,33.13120079040527,41.80854415893555,72.77388000488281,192.0,-13.555473327636719,10.079087257385254,-46.03061294555664,-18.83439826965332,-13.584142208099365,-7.362895727157593,14.338892936706543,192.0,5.5484700202941895,8.553183555603027,-14.675105094909668,-1.2560923397541046,4.553380489349365,11.225750923156738,28.37588119506836,192.0,-11.192237854003906,8.208520889282227,-32.516754150390625,-16.401081085205078,-10.63595962524414,-6.14100980758667,13.442191123962402,192.0,-4.926535606384277,5.312280654907227,-16.579198837280273,-8.660931825637817,-5.005399465560913,-1.8153976202011108,10.62940788269043,192.0,-9.64209270477295,6.164669036865234,-23.709123611450195,-14.013003826141357,-9.361858367919922,-5.243980169296265,3.774718761444092,192.0,-9.933960914611816,4.178683280944824,-20.40005111694336,-12.479922533035278,-9.395732402801514,-7.140088081359863,1.2602794170379639,192.0,-5.369258880615234,4.30885124206543,-15.969634056091309,-8.584310531616211,-5.253026962280273,-2.4070719480514526,7.296843528747559,192.0,-2.2867612838745117,3.757805109024048,-10.77478313446045,-4.828705072402954,-2.401972770690918,0.059914118610322475,8.630069732666016,192.0,-5.5590362548828125,4.156151294708252,-14.85615348815918,-8.382596254348755,-5.8731489181518555,-2.939366340637207,9.69866943359375,192.0,-0.5839724540710449,4.278307914733887,-9.932629585266113,-3.2964969277381897,-0.9324492812156677,1.4712563455104828,12.60732364654541,192.0,-3.8868072032928467,4.046290874481201,-10.128528594970703,-6.595669388771057,-4.593398571014404,-2.221311926841736,15.575277328491211
calm,192.0,-674.2501831054688,61.07950973510742,-841.574462890625,-709.9088134765625,-676.3275451660156,-641.366455078125,-509.24578857421875,192.0,54.9969596862793,12.952173233032227,22.292503356933594,44.34806156158447,56.46372032165527,64.63824462890625,83.72500610351562,192.0,2.856661796569824,10.222513198852539,-20.237218856811523,-3.878458857536316,0.9779733717441559,9.108188390731812,29.91826057434082,192.0,14.340670585632324,8.352214813232422,-2.863295078277588,7.0236358642578125,13.969287395477295,21.524816036224365,34.84699630737305,192.0,-0.09218112379312515,7.664902210235596,-15.330507278442383,-6.861081957817078,0.6972023546695709,4.770758628845215,15.751533508300781,192.0,-0.9940810799598694,7.473495960235596,-20.950475692749023,-5.6152342557907104,-1.5454105138778687,3.8057718873023987,16.977294921875,192.0,-9.523633003234863,6.493199348449707,-26.395170211791992,-13.706047534942627,-9.713287830352783,-5.148754596710205,5.240737438201904,192.0,-4.673386096954346,4.773739814758301,-13.672391891479492,-8.53770399093628,-5.1855010986328125,-1.04544298350811,7.576013088226318,192.0,-3.4782216548919678,4.518390655517578,-17.205322265625,-7.118370413780212,-3.3684887886047363,-0.5092759281396866,7.544647216796875,192.0,-0.31654632091522217,5.070644378662109,-10.184186935424805,-3.8983548879623413,-1.0839107036590576,2.6611509323120117,15.210830688476562,192.0,-4.657027721405029,4.6232404708862305,-14.926314353942871,-7.8260756731033325,-5.204006910324097,-1.6459466516971588,8.265983581542969,192.0,-0.47402194142341614,4.203898906707764,-11.944571495056152,-2.696527361869812,-0.5798980295658112,1.8199775218963623,10.805660247802734,192.0,-2.778294563293457,2.757505178451538,-9.63538932800293,-4.794790744781494,-2.5962109565734863,-1.0606045424938202,3.7375450134277344
disgust,192.0,-582.3243408203125,67.46587371826172,-750.811767578125,-626.2463684082031,-575.5922241210938,-539.1271209716797,-421.5634765625,192.0,46.054805755615234,14.18033504486084,1.6375272274017334,37.841065406799316,45.07131004333496,55.65792751312256,77.77239227294922,192.0,-4.288562297821045,10.476435661315918,-28.34638214111328,-11.48076343536377,-4.434813499450684,3.317817449569702,17.33652114868164,192.0,8.194877624511719,8.935670852661133,-12.024558067321777,1.3943004608154297,7.5628814697265625,15.518800735473633,31.455852508544922,192.0,-6.061706066131592,7.176204681396484,-26.38018226623535,-11.099794864654541,-5.955370664596558,-0.4260682761669159,7.3672614097595215,192.0,-4.583532810211182,5.923892021179199,-18.647584915161133,-8.979699850082397,-4.5865232944488525,-0.36658959835767746,14.468186378479004,192.0,-11.587084770202637,6.756551265716553,-26.987964630126953,-16.64359188079834,-12.105504035949707,-5.587102055549622,2.6129584312438965,192.0,-7.331686019897461,4.525204181671143,-18.844850540161133,-10.146687507629395,-7.109858274459839,-4.017419755458832,3.656177282333374,192.0,-3.804485559463501,4.403540134429932,-17.127477645874023,-6.889893412590027,-3.992279529571533,-0.5981447994709015,7.881451606750488,192.0,-2.192333221435547,4.875061511993408,-14.974658966064453,-5.63455069065094,-2.427515745162964,1.2115809917449951,10.188508033752441,192.0,-5.138988018035889,3.844679355621338,-13.931346893310547,-7.8967978954315186,-5.006687879562378,-2.7453644275665283,3.328354597091675,192.0,-1.4028211832046509,3.840489149093628,-11.342288970947266,-3.9644556641578674,-1.4117331504821777,0.8405496776103973,8.451621055603027,192.0,-4.091164588928223,3.394939661026001,-12.840343475341797,-6.516958951950073,-4.324438810348511,-1.6001463830471039,4.845983028411865
fearful,192.0,-522.745361328125,100.75244140625,-790.8490600585938,-593.28125,-515.7686462402344,-444.03707122802734,-304.2533874511719,192.0,33.35578536987305,16.774578094482422,-7.732906818389893,20.798068046569824,34.30744934082031,48.21866989135742,67.28849029541016,192.0,-13.076981544494629,13.443610191345215,-53.294551849365234,-21.951463222503662,-13.092537879943848,-3.9955105781555176,16.964214324951172,192.0,6.579050064086914,8.877486228942871,-16.26305389404297,0.41789187490940094,6.771267890930176,12.636332988739014,30.29085922241211,192.0,-7.011155605316162,8.81682014465332,-29.38512420654297,-13.439275979995728,-6.777198791503906,0.09836694039404392,12.598014831542969,192.0,-6.275754928588867,7.096584796905518,-28.76238441467285,-10.636051177978516,-6.112846374511719,-1.2398676574230194,10.129284858703613,192.0,-13.259142875671387,6.756444931030273,-28.478443145751953,-18.56129264831543,-14.647156238555908,-7.589341640472412,2.3328964710235596,192.0,-9.146105766296387,5.107867240905762,-19.4055233001709,-13.102384090423584,-9.457773208618164,-5.566632986068726,4.007786273956299,192.0,-3.8638317584991455,5.868463516235352,-26.060758590698242,-7.314703345298767,-3.7752853631973267,-0.5715268105268478,21.3994197845459,192.0,-2.3214919567108154,5.495354652404785,-15.236875534057617,-6.654974699020386,-2.2156227827072144,1.3046090602874756,17.72943687438965,192.0,-5.322345733642578,5.444932460784912,-19.18692970275879,-8.985379457473755,-5.860798358917236,-2.9326295256614685,19.198631286621094,192.0,1.0998544692993164,5.1394147872924805,-9.347681999206543,-2.437121093273163,0.07367872446775436,4.16447639465332,17.003337860107422,192.0,-1.7536159753799438,5.43868350982666,-13.802075386047363,-5.127045631408691,-2.5860923528671265,0.11989319510757923,18.047557830810547
happy,192.0,-542.1190795898438,79.12120819091797,-693.9091796875,-603.1012268066406,-539.4956665039062,-486.17777252197266,-335.6979064941406,192.0,39.43439483642578,16.449810028076172,-2.7128970623016357,29.26947021484375,40.04293251037598,51.1984977722168,93.45384979248047,192.0,-13.805659294128418,12.63388729095459,-51.258975982666016,-20.936164379119873,-13.501757621765137,-6.519991159439087,17.81722068786621,192.0,8.764349937438965,7.942676544189453,-12.625683784484863,3.9221627712249756,8.294779777526855,14.526885747909546,26.637033462524414,192.0,-6.7319183349609375,8.891932487487793,-29.350866317749023,-12.47432804107666,-5.93402624130249,-0.17026150226593018,14.278562545776367,192.0,-6.845010280609131,6.969128131866455,-28.946884155273438,-10.427100896835327,-6.67299485206604,-2.4877277612686157,11.591325759887695,192.0,-11.78715991973877,5.870293140411377,-22.330305099487305,-16.298065185546875,-12.595577716827393,-7.776859164237976,5.910303592681885,192.0,-9.506033897399902,4.616528034210205,-23.71047592163086,-12.623115062713623,-8.995062828063965,-6.391552209854126,0.1698436737060547,192.0,-5.011466979980469,4.72288179397583,-22.884952545166016,-7.3856178522109985,-4.410493850708008,-1.8279683887958527,5.796568870544434,192.0,-2.8575546741485596,5.482634544372559,-15.067594528198242,-7.1912596225738525,-2.683829426765442,1.7467275559902191,8.502567291259766,192.0,-5.592674255371094,4.82493782043457,-15.150466918945312,-8.800002336502075,-5.954805374145508,-3.1992873549461365,13.865549087524414,192.0,-0.5930779576301575,5.289333343505859,-13.363840103149414,-3.7701845169067383,-0.5532761514186859,1.926451951265335,20.997953414916992,192.0,-2.9828102588653564,4.903323173522949,-11.0839204788208,-6.7897374629974365,-3.21087110042572,-0.5405330061912537,16.557546615600586
neutral,96.0,-668.0618286132812,50.15528869628906,-762.8921508789062,-704.1019897460938,-674.2716064453125,-630.6178741455078,-533.0950927734375,96.0,53.91743087768555,12.379349708557129,28.690814971923828,44.186659812927246,53.79865837097168,64.68103218078613,88.96969604492188,96.0,0.8964807391166687,8.909187316894531,-19.457799911499023,-5.150899410247803,0.4762430638074875,5.792501330375671,27.456653594970703,96.0,13.928478240966797,7.453664779663086,-0.6041370630264282,8.052486300468445,13.703984260559082,20.34974956512451,35.83618927001953,96.0,-1.5687886476516724,6.929257869720459,-15.421417236328125,-8.004750847816467,0.4869147390127182,3.896562397480011,14.343461036682129,96.0,-1.4012576341629028,6.599124431610107,-17.131635665893555,-6.27630615234375,-1.9421923160552979,2.900194227695465,12.729552268981934,96.0,-8.63527774810791,6.159626007080078,-18.99888038635254,-13.645701169967651,-8.988480567932129,-4.287558555603027,4.2738542556762695,96.0,-6.4114460945129395,4.637298107147217,-14.515863418579102,-10.561254262924194,-6.719452142715454,-3.551067531108856,8.352042198181152,96.0,-3.2703628540039062,3.7039828300476074,-12.478397369384766,-5.902767896652222,-2.941652774810791,-1.0082109570503235,5.799870014190674,96.0,-1.1531471014022827,4.021958827972412,-9.811089515686035,-4.167292237281799,-1.250443458557129,1.8006587028503418,7.872207164764404,96.0,-3.861806869506836,3.534999132156372,-11.821722984313965,-6.341699838638306,-4.230056285858154,-1.941601186990738,7.4097676277160645,96.0,-0.0843520388007164,4.109097480773926,-7.947610855102539,-2.9502572417259216,-0.03777178004384041,1.7341193556785583,10.606219291687012,96.0,-2.5390021800994873,2.729642629623413,-9.176029205322266,-4.6234272718429565,-2.377065420150757,-0.8378646820783615,2.8440229892730713
sad,192.0,-627.3648071289062,81.31795501708984,-824.909423828125,-687.0636596679688,-625.9120178222656,-581.3105010986328,-411.3551940917969,192.0,49.3680305480957,15.427252769470215,-1.2864347696304321,40.12807750701904,50.02544021606445,60.83924102783203,78.75366973876953,192.0,-3.716540575027466,12.099371910095215,-37.92926025390625,-10.806788682937622,-3.1629061698913574,4.15658164024353,24.605701446533203,192.0,12.618602752685547,8.583240509033203,-6.245899677276611,6.389485955238342,13.23840045928955,19.6781005859375,33.23190689086914,192.0,-2.6764848232269287,8.899052619934082,-24.977481842041016,-9.038178205490112,-1.5466452836990356,3.673045337200165,14.209565162658691,192.0,-3.680180788040161,8.069801330566406,-23.517276763916016,-9.012072563171387,-2.834631085395813,1.9832202196121216,14.965023040771484,192.0,-11.572352409362793,6.373928070068359,-26.554155349731445,-16.506258010864258,-12.10869836807251,-7.100368499755859,4.9307684898376465,192.0,-9.136185646057129,6.211028575897217,-28.527318954467773,-13.715260982513428,-9.183340072631836,-3.9509947896003723,1.4431651830673218,192.0,-3.9270846843719482,5.343489646911621,-24.403226852416992,-7.427942395210266,-3.789232850074768,-0.3860769048333168,8.325830459594727,192.0,-2.394347906112671,4.980310440063477,-15.814220428466797,-5.654622793197632,-1.9872096180915833,0.9288900345563889,7.963751316070557,192.0,-5.374443054199219,4.198394775390625,-18.310869216918945,-7.623673319816589,-5.128751516342163,-2.3773549795150757,7.867609024047852,192.0,0.29183143377304077,4.050527095794678,-10.823259353637695,-1.813922941684723,0.14932934194803238,2.624109983444214,12.916537284851074,192.0,-2.9266183376312256,4.052213191986084,-12.615320205688477,-5.227645754814148,-2.8911856412887573,-0.8530231267213821,17.411733627319336
surprised,192.0,-574.7161254882812,66.66983795166016,-751.1766357421875,-613.2306976318359,-569.8364868164062,-530.924072265625,-417.04864501953125,192.0,42.139888763427734,12.949145317077637,17.634103775024414,32.190659523010254,41.09153175354004,49.2877836227417,77.09276580810547,192.0,-6.478116989135742,9.449104309082031,-31.99005889892578,-14.310142517089844,-6.685757875442505,-0.07681266963481903,19.58892250061035,192.0,6.591060161590576,7.981916904449463,-11.638614654541016,0.9888843148946762,5.364234924316406,11.203767538070679,30.541582107543945,192.0,-6.776823043823242,7.212264537811279,-22.697927474975586,-12.457799911499023,-6.75481390953064,-1.7829601764678955,13.235419273376465,192.0,-4.611267566680908,6.2472825050354,-17.940629959106445,-8.40955638885498,-5.259568691253662,-0.7785400152206421,11.446361541748047,192.0,-11.124234199523926,5.775439262390137,-24.274532318115234,-15.026846885681152,-11.183173656463623,-7.647012114524841,3.550121545791626,192.0,-7.651438236236572,4.606418609619141,-18.695755004882812,-10.384693145751953,-7.637305498123169,-4.47382926940918,5.418941497802734,192.0,-5.063823223114014,3.708413600921631,-14.97648811340332,-7.761614680290222,-5.649940729141235,-2.457022726535797,3.899545192718506,192.0,-3.43027663230896,4.378538131713867,-12.038562774658203,-6.4080811738967896,-4.1648149490356445,0.2515266612172127,5.728387355804443,192.0,-5.972166538238525,3.6011600494384766,-14.42149543762207,-7.879245042800903,-6.003161430358887,-3.6380253434181213,4.4179768562316895,192.0,-1.9949647188186646,3.427063465118408,-12.298506736755371,-4.306477427482605,-2.2101597785949707,0.2864396274089813,7.083506107330322,192.0,-3.556558609008789,3.4580326080322266,-11.439018249511719,-6.453002333641052,-3.714385747909546,-1.3165326416492462,5.096581935882568
